18,138,81687,80.435264143,4.49,189.82,2.8363581757,5.7,0,0,0,0,90000,582,90.0,8.1,186.91,37,0
30,147,126580,87.230376011,6.525,187.2,2.5560517331,6.2,0,0,1,0,140000,537,84.9,6.525,212.73,28,1
27,147,436000,117.44916821,6.875,151.48,-3.5165679869999997,7.8,0,0,0,0,436000,758,80.0,6.875,222.39,7,1
26,143,356250,97.38967407,5.375,173.35,-0.314447747,5.8,0,0,0,0,356250,653,75.0,5.375,225.1,9,0
24,145,242242,88.406121589,5.875,189.82,2.8363581757,5.7,1,0,0,0,242242,722,75.0,5.875,223.75,34,0
12,132,52042,44.393065236000005,11.375,226.29,2.8991367167,4.7,0,0,1,1,53500,635,71.3,0.0,144.84,4,1
26,146,468000,99.756259694,7.75,180.52,0.8368586627,5.0,0,0,1,0,468000,786,80.0,7.75,225.1,6,1
23,141,507601,97.281032526,3.0,189.82,2.8363581757,5.7,0,1,0,0,488000,693,80.0,3.0,221.91,38,0
27,147,200000,83.63277393899999,7.5,212.73,2.2742178006000002,4.7,1,0,0,0,200000,634,80.0,0.0,222.39,2,0
26,147,246517,117.13766233,6.375,153.35,-4.146710947,9.0,1,0,0,0,247134,636,80.0,6.375,225.1,2,1
27,147,126483,108.80016935,5.0,187.65,2.4436475652,5.7,0,0,1,0,137500,656,99.8,5.0,222.39,29,0
25,145,218524,85.266174773,7.75,200.67,1.8506891663,4.7,0,1,0,0,220800,643,76.4,7.75,226.29,5,1
26,144,96219,86.30078855100002,2.75,189.82,2.8363581757,5.7,0,1,0,0,105772,722,80.0,2.75,225.1,35,0
19,139,149599,81.866490755,5.875,186.12,1.1041627602,5.0,0,1,0,0,149600,743,79.6,5.875,191.42,11,0
26,147,551914,111.08152581,7.75,162.09,-2.805844087,6.5,0,0,1,0,552000,639,80.0,0.0,225.1,7,1
26,147,154570,115.41052886,9.95,173.35,-0.314447747,5.8,0,0,1,0,156000,565,89.7,9.95,225.1,6,0
25,145,147351,118.23558737,10.75,158.77,-3.339549297,9.5,0,0,1,0,142100,641,80.0,9.8,226.29,12,1
9,129,124727,46.195804057,9.4,223.75,3.1211950891000004,4.7,0,0,1,0,128000,553,79.9,9.4,132.76,4,0
25,146,468857,109.09879607,7.5,173.35,-0.314447747,5.8,0,0,1,0,448800,730,80.0,0.0,226.29,8,1
20,140,209975,71.160909422,6.475,219.67,1.2291722496,4.6,0,0,0,0,214071,606,80.0,6.475,199.21,7,0
17,137,110988,53.965881204,5.25,189.82,2.8363581757,5.7,0,0,0,0,136100,718,70.0,5.25,179.45,40,0
25,145,283714,92.43775635899999,7.625,156.04,2.6941105489,9.4,0,0,0,0,300000,623,67.4,7.625,226.29,17,0
27,145,160000,80.0,9.3,222.39,2.3617217155000003,4.4,0,0,0,0,160000,621,80.0,9.3,222.39,1,0
23,143,561577,112.23901126,8.0,173.35,-0.314447747,5.8,0,0,1,0,512400,643,80.0,1.0,221.91,7,1
30,147,51846,102.17025233,9.45,186.12,1.1041627602,5.0,0,0,0,0,52200,555,90.0,0.0,212.73,3,1
18,135,644496,50.422870401000004,4.875,199.21,3.5563345819,5.3,0,0,1,0,650000,707,54.2,4.875,186.91,3,0
26,146,146273,68.023382986,7.999,189.82,2.8363581757,5.7,0,0,1,0,153000,597,60.0,7.999,225.1,33,0
24,144,73680,112.70619197,8.25,155.61,1.1759090317,9.0,0,0,1,0,75200,572,80.0,8.25,223.75,20,1
22,142,310233,81.604309477,7.4,225.1,2.1513648831,4.7,0,1,0,0,311185,516,85.0,7.4,216.77,2,1
21,141,148000,76.868013065,6.35,217.37,1.6929686703,4.5,0,0,1,0,148000,602,80.0,6.0,208.86,7,0
26,146,289546,102.16301841,9.39,212.73,2.2742178006000002,4.7,0,0,1,0,290000,650,96.7,0.0,225.1,3,1
11,132,53229,62.202397229,7.125,217.37,1.6929686703,4.5,0,0,1,0,55134,471,98.5,7.125,142.18,5,1
