date,headline,open,high,low,close,daily_diff,up,stay,down,yc_spread,yc_diff,lead_ind,oil_p,eurusd_diff,oilp_diff,sp500_vol,sp500_diff,djia_vol,djia_diff,prob_sent,int_sent
2007-01-03,Pepsi Bottling says recorded   mln benefit in Q ,12.16,12.75,11.53,12.04,-0.120000000000001,0,1,0,-3.248671652989949,-0.10958185062746703,0.2343436103376793,-0.8505311966624368,0.050512658349488336,-0.3719745446691087,-0.5077536070122662,0.2338921294069813,1.5518360594655414,0.08729628179792033,-2.0405473639702305,1.0
2007-01-05,Fox business channel lands Time Warner Cable deal,11.84,12.25,11.68,12.14,0.3000000000000007,0,1,0,-2.6225065488444,1.174135109689312,0.2343436103376793,-0.9354766558550766,0.00558791189090111,-1.0181833427226616,-0.934619480180404,-0.5208181766350205,0.6045787141779039,-0.485297848661276,0.6624885512685099,0.0
2007-01-08,Google tops Fortune list of best places to work. Sony Microsoft hit game console targets. Gates sees Microsoft leading Sony in video games,12.48,12.83,11.78,12.0,-0.4800000000000004,0,0,1,-2.8675276333098694,0.6392526426217714,0.2343436103376793,-0.9443076194345096,-0.18476482165760766,-2.3739336947851815,-1.0653019349956494,-0.6537498137633581,0.4838801265852629,-0.5433952962017004,-23.9358426723637,0.6666666666666666
2007-01-10,ADR Report Crude drags energy Apple hits telecoms. Apple iPhone hits handset makers shares. Apple shares hit high on iPhone. Apple introduces svelte multimedia iPhone. NYSE others buy  pct stake in India s NSE bourse. Intel to supply Apple TV chip but not iPhone chip. Microsoft starts watershed year with Vista buzz. Chevron forms JV with Gazprom s oil unit. US STOCKS Techs edge up on Apple energy shares off. Apple s iPhone steals spotlight from rival tech show,12.34,12.5,11.43,11.47,-0.8699999999999992,0,0,1,-1.578898068554727,-1.3932912370368389,0.2343436103376793,-1.0338788214544707,-0.1470003175651718,-2.97183784846596,-1.0641965855123985,-0.6823532758202553,0.5154965654853831,-0.6617558984031596,11.33847622838855,0.1
2007-01-11,Coke Consolidated Cadbury ink Cinnabon lattes deal. NYSE changes options pricing on penny pilot issues. Barclays launches eight bond ETFs on NYSE. Pfizer says considering OTC form of Viagra. Chevron and Gazprom JV to tap oil in West Siberia,11.42,11.48,10.5,10.87,-0.5500000000000007,0,0,1,-2.0598655889416184,0.10437523552344524,0.2343436103376793,-1.1196653247975328,0.005732271616026061,-4.534761453060598,-0.9861438390473912,-0.5468950851314162,0.8774893431203088,-0.6097789275080123,3.916210293277025,0.0
2007-01-16,JPMorgan Chase adds Canada credit card unit jobs. United States top court won t review IBM pension bias case,10.64,10.89,10.4,10.74,0.09999999999999964,0,1,0,-2.8675276333098694,-0.3235338340187278,0.2343436103376793,-1.1482608259118867,-0.12430696877567313,-4.540128635768687,-1.2024741310951328,-1.133322545283917,0.6818175714257544,-1.130961054146987,-1.2941976491909837,-0.5
2007-01-17,US STOCKS Techs fall on Intel Cisco Apple on tap. Cisco hit by another downgrade. Microsoft Nortel offer new products services. Exxon sees   major project startups similar to  . JP Morgan net surges  pct on investment banking. Intel shares fall. Apple beats handily on top and bottom lines guides Q below consensus. US STOCKS Indexes flat after Intel economic data. US STOCKS Indexes slip after inflation data Intel. US STOCKS Indexes fall on inflation worries Intel,10.9,10.9,10.35,10.59,-0.3100000000000005,0,1,0,-2.8493779314832235,0.21134866514164055,0.2343436103376793,-1.1032649638643004,-0.20517728679014235,0.11536564522509872,-1.1264897279813602,-1.016371872952898,0.9907730004171559,-0.9680622142038112,-19.586209740375462,-0.2
2007-01-18,US STOCKS Techs drop on Apple semis oil falls. US STOCKS Tech stocks tumble on Apple semis. Coke says marketing president Minnick to leave. US STOCKS Apple semis drag down tech stocks. Belgian group warns Yahoo awaits Google ruling. US STOCKS Tech shares fall with Apple blue chips edge up. Abbott Labs General Electric confirms it will acquires Abbott s in vitro and Point of Care Diagnostics Businesses for    bln. US STOCKS Indexes fall as Apple weighs down techs. US STOCKS Nasdaq falls  percent as Apple extends fall. Apple s iPod takes on global currency markets. NASDAQ   Trust    Day Alert. Intel edges up toward midday bounce high . US STOCKS Dow inches up but Apple hits Nasdaq. US STOCKS Dow futures up after data Apple hits Nasdaq. Apple OPTi announces it initiates Patent Infringement Lawsuit against Apple . Intel margin pressure,10.65,11.04,10.45,10.85,0.1999999999999993,0,1,0,-2.8403028727557107,0.10437523552344524,0.2343436103376793,-1.178538415327085,-0.12849340080427749,-0.1916372056774196,-1.0158207979007317,-0.8438986455484189,0.7638967303944699,-0.9575161621381362,-5.36967176790462,-0.25
2007-01-19,US STOCKS Oil rebound keeps S&P up IBM hurts Dow. Intel margin pressure,10.8,11.03,10.24,10.4,-0.40000000000000036,0,0,1,-2.8130785459796424,0.3183221161550545,0.2343436103376793,-1.1167216702710552,-0.09820673047325897,0.15830310688978647,-1.053461297349311,-1.0433012365123897,1.1427790714809256,-0.9695687930703364,-17.183825487086462,0.5
2007-01-22,Ex Coke aide victimized by co defendants  lawyer. Sun Micro confirms will use some Intel chips. Boeing sells  planes to GE unit for   billion. US SEC takes no stance on HP shareholder proposal. Pfizer profit jumps on sale of consumer unit. IBM renews Microsoft rivalry with new Web software. Global Payment Tech reports notification from NASDAQ. Sun to add Intel as chip supplier. Platform Solution countersues IBM in patent spat. AMD shares fall after Sun Intel chip deal reports. AIDS group to sue Pfizer over Viagra ads. Allegheny Technologies in GE Aviation supply deal,10.77,11.08,10.62,10.77,0.0,0,1,0,-2.858452569137443,-0.5374807146503371,0.2343436103376793,-1.1533070908144196,-0.1987965869396605,-0.09288104384863728,-1.2522232317011417,-0.6554341828036925,1.2037462761352289,-0.4196675067882094,-1.2959344458578324,-0.4166666666666667
