Time,house_0,house_1,house_2,house_3,house_4,house_5,house_6,house_7,house_8,house_9,house_10,house_11,house_12,house_13,house_14,house_15,house_16,house_17,house_18,house_19
2014-07-03 01:00:00,148.65833333333333,272.80838323353294,112.45918367346938,238.8904958677686,170.13675213675214,212.0,297.7341137123746,525.2982885085574,184.37147887323945,204.96376811594203,204.60217983651225,257.8888888888889,193.9678800856531,250.6764199655766,225.41629955947133,696.662213740458,356.0430379746836,146.34883720930233,180.3783068783069,197.217277486911
2014-07-03 02:00:00,159.90166666666667,239.8744939271255,148.4003350083752,219.9522821576764,169.3782837127846,181.0078947368421,265.5143338954469,746.992443324937,175.09335727109516,181.81220657276995,203.61928934010152,185.1522842639594,163.6184210526316,253.40869565217392,220.9,849.9219330855019,333.6763925729443,149.68191721132897,180.24804177545693,179.23835616438356
2014-07-03 03:00:00,148.51913477537437,,70.8,336.0343347639485,171.08540925266905,169.74430379746835,285.9382303839733,192.8181818181818,198.9743119266055,181.28074245939675,166.41755319148936,260.17917675544794,201.43595505617972,251.7390510948905,241.90631808278863,377.7347670250896,331.2594458438287,160.27032967032966,165.22850122850122,207.32901554404145
2014-07-03 04:00:00,156.31,,162.69011725293132,282.8867924528302,172.80244755244755,163.76606683804627,484.95,2399.100737100737,207.79115044247789,209.14598540145985,190.6266666666667,204.13669064748203,155.28824833702882,299.9263157894737,198.6928251121076,493.10614525139664,286.6286472148541,151.03378378378378,175.32678132678132,218.9705882352941
2014-07-03 05:00:00,173.98497495826376,,351.69100169779284,345.3272727272727,174.86263736263737,290.8636363636364,497.7008403361344,5053.995495495496,377.9225225225225,198.76328502415456,1227.8461538461538,259.4788732394366,195.37136465324383,282.6746031746032,252.42917547568712,1104.9743083003953,365.4395061728395,217.9647577092511,151.40632054176072,278.2189973614776
2014-07-03 06:00:00,794.557069846678,331.625,735.0408858603066,472.5573440643863,345.6187943262412,698.230593607306,369.0692567567568,783.3070175438596,212.9134948096886,373.8534278959811,277.7482837528604,177.21014492753622,538.5031578947369,265.56174334140434,293.8034188034188,426.2804123711341,399.5073891625616,313.52818371607515,550.7766497461929,518.3325
2014-07-03 07:00:00,494.69666666666666,789.4479371316306,1560.9247491638796,883.7371663244353,173.48275862068965,1172.1204545454543,379.27,1417.920634920635,368.5077989601386,506.03333333333336,117.24935732647816,259.09558823529414,1332.3589743589744,252.325925925926,986.3939393939394,319.16494845360825,584.1934604904632,171.92616033755274,948.1246537396122,255.45454545454547
2014-07-03 08:00:00,153.61166666666668,595.0933333333334,1523.103852596315,702.9012605042017,336.24956063268894,229.5675675675676,487.8694885361552,263.8888888888889,180.3765112262521,591.3401534526854,582.2597087378641,231.9814814814815,740.3174946004319,404.0523690773067,406.234273318872,321.45518453427064,458.046997389034,214.95687885010267,936.6819338422392,201.86015831134569
2014-07-03 09:00:00,154.41333333333333,2667.283082077052,1659.4905335628227,257.87759336099583,658.067944250871,242.7155963302752,398.60143626570914,562.6605504587156,182.23302752293577,188.22916666666663,719.9172932330827,322.9747126436782,168.55579868708972,303.4410377358491,313.14473684210526,319.61728395061726,759.9564102564102,241.9147121535181,961.865336658354,237.9329758713137
2014-07-03 10:00:00,716.4940374787053,894.559265442404,1746.4698996655518,277.70362903225805,312.41124780316346,337.8811369509044,393.3885135135135,690.5787037037037,175.33617747440272,229.08823529411765,973.374358974359,270.6818181818182,229.51282051282053,272.80397022332505,293.625,320.3775862068965,621.7398119122257,186.2987012987013,1643.9755434782608,291.4139784946237
2014-07-03 11:00:00,227.4682274247492,672.715,1298.4455611390283,341.2416666666667,235.4196428571429,416.1989795918368,335.91819699499166,204.6264775413712,183.0086956521739,181.83292978208232,1020.992125984252,243.48693586698337,350.6948051948052,271.02813299232736,289.75116279069766,322.40501792114696,626.5980148883375,345.9979035639413,1113.2201086956522,361.5486725663717
2014-07-03 12:00:00,235.45147679324896,1559.2253756260434,1187.3886097152429,390.71,237.05335628227195,271.87401574803147,400.56470588235294,310.78823529411767,175.56228373702422,522.4019851116625,661.3645569620253,249.1489361702128,261.694623655914,282.8101265822785,327.84140969163,319.7838827838828,582.8501291989664,286.48665297741275,1094.8582677165357,200.1522988505747
